,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD～H以外,month,wod_x,さっぽろ（南北線）,さっぽろ（東豊線）,すすきの,大通（南北線）,大通（東西線）,大通（東豊線）,wod_y,気温(℃),風向(度:0～359),風速(m/s),降水量(mm),積雪深(cm),J1,J2,J3,J4,J5
2019-06-17,878.0,615.0,263.0,110.0,40.0,3.0,21.0,33.0,56.0,6,0,54740,31164,15073,41745,20623,14443,0,12.436805555555557,335.8958333333333,1.6493055555555556,0.5,0.0,1943.5064935064936,1213.1688311688313,1527.2207792207791,1818.8961038961038,646.7012987012987
2019-06-18,3696.0,1760.0,1936.0,947.0,442.0,7.0,78.0,204.0,258.0,6,1,55355,31365,15455,41298,20473,14156,1,16.240277777777777,203.95833333333334,0.37430555555555556,0.0,0.0,1281.7532467532467,928.4805194805194,1295.1298701298701,1584.6753246753246,804.922077922078
2019-06-19,2811.0,1273.0,1538.0,488.0,296.0,62.0,66.0,177.0,449.0,6,2,56343,31269,15471,42190,21092,15469,2,18.8125,236.17361111111111,0.4819444444444445,2.0,0.0,1177.7922077922078,992.012987012987,1316.7142857142858,1265.3116883116884,693.6233766233767
2019-06-20,2917.0,1388.0,1529.0,780.0,193.0,65.0,53.0,195.0,243.0,6,3,57440,31503,15886,42534,21155,14626,3,19.299305555555556,255.54861111111111,0.4097222222222222,8.0,0.0,1183.5064935064936,901.8831168831168,1160.909090909091,1256.6233766233765,700.4415584415584
2019-06-21,4013.0,1803.0,2210.0,976.0,604.0,1.0,48.0,165.0,416.0,6,4,63123,33161,19302,47817,22860,15481,4,18.27638888888889,157.9375,0.6368055555555556,0.0,0.0,1309.4155844155844,1007.7792207792207,1274.2987012987012,1347.2207792207791,657.1298701298701
2019-06-22,1396.0,816.0,580.0,230.0,192.0,18.0,13.0,33.0,94.0,6,5,55235,35075,21256,44199,16355,12724,5,18.413194444444443,147.61805555555554,0.9513888888888888,28.5,0.0,1363.5454545454545,911.3246753246754,1254.090909090909,1336.5454545454545,754.8181818181819
2019-06-23,4918.0,3083.0,1835.0,949.0,545.0,56.0,64.0,120.0,101.0,6,6,44996,21266,17422,36797,14735,9913,6,18.719444444444445,195.625,0.6965277777777777,1.5,0.0,1209.9610389610389,924.2727272727273,1165.8701298701299,1290.4025974025974,641.5454545454545
2019-06-24,3476.0,1901.0,1575.0,773.0,267.0,6.0,64.0,230.0,235.0,6,0,55957,30822,15340,42530,21142,14443,0,19.081944444444446,267.28472222222223,0.5375000000000001,0.0,0.0,1231.4545454545455,861.7792207792207,1138.5064935064936,1517.2987012987012,776.6103896103896
2019-06-25,3584.0,1509.0,2075.0,553.0,838.0,17.0,62.0,330.0,275.0,6,1,57529,32225,15936,43783,22296,14975,1,19.443055555555556,267.4166666666667,0.5618055555555556,0.0,0.0,1210.2467532467533,895.2597402597403,1099.7792207792209,1477.6103896103896,807.1168831168832
2019-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,58513,32284,16481,45041,22258,15301,2,20.404861111111114,259.0,0.43125,0.0,0.0,1148.4285714285713,865.038961038961,1219.935064935065,1346.3116883116884,818.1298701298701
